id;paevakaja_id;nimi
216;53;Issajev Mihhail
217;53;Jakovlev Vassili
218;54;Veimer Arnold
219;54;Feigan Jakov
220;54;Ragozin Neofit
221;54;Sepre Oskar
222;54;Inti Eduard
223;54;Aarna Agu
224;55;Feodorov Dmitri
225;56;Milli August
226;57;Mihhalkov Sergei
227;59;Smuul Juhan
228;60;Laur Hugo
229;61;Laasi
230;61;Sepmann Henno
231;62;Tiismus Hugo
232;62;Jänes Hans
233;62;Vainštein G.
234;67;Feldmann August
235;69;Eichfeld Johan
236;70;Aarna Agu
237;70;Toomsalu Ruudi
238;71;Taev Karl
239;72;Salm Nikolai
240;73;Mikk Vello
241;73;Bogovski Pavel
242;75;Lupp Heinu
243;75;Klement Feodor
244;76;Berensen Valdeko
245;76;Mostovoi Viktor
246;78;Rebane Valdur
247;78;Kool Ott
248;79;Okas Evald
249;80;Laht Uno
250;80;Okey John
251;82;Kask Mihkel
252;83;Rebane Valdur
253;83;Kennedy John
254;83;Inkley
255;84;Rebane Valdur
256;84;Tomson Maria
257;85;Rebane Valdur
258;85;Hõimre Aado
259;86;Panso Voldemar
260;86;Mering Alfred
261;86;Rummo Linda
262;86;Pärn Endel
263;87;Rebane Valdur
264;88;Rebane Valdur
265;88;Kuusik Otto
266;88;Leius Toomas
267;89;Hruštšov Nikita
268;89;Castro Fidel
269;90;Lupp Heinu
270;90;Hansen Leopold
271;92;Lauri Lembit
272;92;Kask Kristjan
273;93;Nei Iivo
274;94;Lupp Heinu
275;94;Ariste Paul
276;94;Giekbajev Dželil
277;95;Laus Albert
278;95;Ird Kaarel
279;95;Lauter Ants
280;96;Moosberg
281;97;Antson Ants
282;98;Kuusik Tiit
283;100;Trikkel Ivar
284;101;Kaasik Feliks
285;101;Simonov Konstantin
286;102;Härmson Paul
287;105;Karm Kaarel
288;105;Tammur Ilmar
289;106;Roosimaa Udo
290;106;Suuresaar Lembit
291;107;Liiger Ellen
292;108;Allik Hendrik
293;109;Tasane Voldemar
294;110;Käär Albert
295;110;Read Alexander
296;110;Read Peter
297;111;Lauri Lembit
298;111;Tomberg Bruno
299;112;Dacian Ion
300;113;Makk Toivo
301;113;Lüütsepp Valve
302;114;Podgornõi Nikolai
303;114;Jegorotšev N. G.
304;114;Pessi Ville
305;115;Peterson Aleksei
306;115;Rasanen Martti
307;116;Nehru Jawaharlal
308;116;Hruštšov Nikita
309;117;Ramul Konstantin
310;117;Siimann Uno
311;118;Rohtla Heino
312;118;Klement Minna
313;118;Hunt Eduard
314;119;Teder Gustav
315;119;Nielsen Paul
316;120;Hruštšov Nikita
317;120;Ulbrich Walter
318;121;Hruštšova Nina
319;121;Sörensen Henri
320;121;Hruštšov Nikita
321;122;Hruštšova Nina
322;122;Hruštšov Nikita
323;123;Pant Valdo
324;123;Sartre Jean-Paul
325;123;Kask Maarja
326;124;Hruštšov Nikita
327;124;Mikojan Anastass
328;125;Trikkel Ivar
329;125;Eichfeld Johan
330;126;Tomberg
331;126;Haljaste
332;126;Kirsi Pilvi
333;126;Toots Ene
334;128;Krell Kaljo
335;128;Frantelli Susanna
336;128;Frantelli Ruben
337;129;Aitio Paavo
338;130;Aitio Paavo
339;131;Aitio Paavo
340;132;Hint Johannes
341;133;Hint Johannes
342;134;Buck Tim
343;134;Käär Albert
344;135;Kaasik Feliks
345;135;Käär Albert
346;135;Wachholz Bärbel
347;138;Kipper Aksel
348;138;Eichfeld Johan
349;138;Mustel Evald
350;138;Tammeorg Johannes
351;138;Struve Emilia
352;138;Keres Harald
353;138;Sutter
354;139;Markus Vambola
355;143;Undusk Johannes
356;143;Fedjuninski Ivan
357;143;Orgmets Gori
358;144;Hruštšov Nikita
359;144;Ponomarjov Boriss
360;145;Ferrin Agostino
361;146;Mikojan Anastass
362;146;Sukarno
363;147;Uba Toomas
364;147;Petrosjan Tigran
365;148;Hoidre Alo
366;148;Jensen Jaan
367;149;Rebane Valdur
368;149;Komarov Vladimir
369;149;Jegorov Boriss
370;149;Mikojan Anastass
371;149;Hruštšov Nikita
372;152;Leet Felix
373;152;Juksar Ilmo
374;153;Õiglane Harri
375;153;Kilvak Jüri
376;153;Metstoa Märt
377;153;Lents Arnold
378;153;Kool Ott
379;153;Talva Jaak
380;153;Keskel
381;154;Kool Ott
382;155;Stuart Douglas
383;156;Sugar Rezsö
384;156;Kardos Istvan
385;156;Kölbel Margareta
386;157;Kudu Kalju
387;157;Hansen Jüri
388;157;Mikson Voldemar
389;158;Orviku Kaarel
390;158;Zakatov Pjotr
391;158;Gudelis Vytautas
392;159;Haldre Meeta
393;160;Bõkovski Valeri
394;160;Määttä Kalle
395;161;Joonas
396;162;Lauter Ants
397;163;Trikkel Ivar
398;163;Sirkel
399;164;Trikkel Ivar
400;164;Eskola Ants
401;165;Murdvee Agu
402;165;Eek Aleksander
403;166;Müürisepp Aleksei
404;166;Villa Marika
